Index,ContributorID,Contributor_PersonID,PersonID,Year,Age,Height,Weight,EducationLevel,NumberOfLanguages,LikeVollyball,LikeTableTennis,FavouriteMovie,Province,HappinessLevel
94,S19,P4,S19P4,2023,40,174,68,Postgraduate/ Master's Degree (PG),2,FALSE,TRUE,The wandering earth,Shanghai,6
95,S19,P5,S19P5,2023,79,170,80,High School,1,FALSE,TRUE,None,Hubei,8
96,S20,P1,S20P1,2023,19,172,56,Undergraduate Degree (UG),2,FALSE,FALSE,12 angry men,Hainan,5
97,S20,P2,S20P2,2023,19,174,70,Undergraduate Degree (UG),2,FALSE,FALSE,The Pursuit of Happiness,Hainan,4
98,S20,P3,S20P3,2023,19,165,51,Undergraduate Degree (UG),2,FALSE,FALSE,3 idiots,Hainan,3
99,S20,P4,S20P4,2023,19,179,65,Undergraduate Degree (UG),2,FALSE,FALSE,Spirited Away,Hainan,4
100,S20,P5,S20P5,2023,19,176,90,Undergraduate Degree (UG),2,FALSE,TRUE,Spider man,Hainan,3
101,S21,P1,S21P1,2023,18,168.66,68.23,Undergraduate Degree (UG),2,FALSE,FALSE,The Grandmaster,Shanghai,5
102,S21,P2,S21P2,2023,18,172.32,60.48,Undergraduate Degree (UG),3,FALSE,FALSE,No Game No Life:Zero,Chongqing,6
103,S21,P3,S21P3,2023,18,178.52,54.44,Undergraduate Degree (UG),2,FALSE,FALSE,A Clockwork Orange,Sichuan,8
104,S21,P4,S21P4,2023,18,178.67,60.83,Undergraduate Degree (UG),2,FALSE,TRUE,The Dark Knight,Hunan,7
105,S21,P5,S21P5,2023,18,175.51,82.69,Undergraduate Degree (UG),1,FALSE,TRUE,Pacific Rim,Jiangsu,10
106,S22,P1,S22P1,2023,49,169,85,Undergraduate Degree (UG),1,FALSE,TRUE,Dangal,Guangdong,8
107,S22,P2,S22P2,2023,33,185,80,High School,2,None,TRUE,Qomolangma,Shanghai,8
108,S22,P3,S22P3,2023,33,180,70,High School,2,None,None,Shaolin soccar,Shanghai,8
109,S22,P4,S22P4,2023,31,174,62,Some School,3,None,TRUE,The wandering Earth,Shanghai,7
110,S22,P5,S22P5,2023,19,177,55,Undergraduate Degree (UG),2,TRUE,FALSE,Titanic,Guangdong,9
111,S23,P1,S23P1,2023,18,172.67,60.56,Undergraduate Degree (UG),2,TRUE,FALSE,Avengers four,Shandong,4
112,S23,P2,S23P2,2023,45,169.97,70.65,Some School,1,FALSE,FALSE,Thor3,Shandong,8
113,S23,P3,S23P3,2023,18,181.76,70.76,Undergraduate Degree (UG),3,TRUE,TRUE,Fast and Furious6,Shandong,4
114,S23,P4,S23P4,2023,25,163.27,50.22,Postgraduate/ Master's Degree (PG),2,FALSE,None,Harry Potter,Beijing,6
115,S23,P5,S23P5,2023,55,165.62,70.11,Postgraduate/ Master's Degree (PG),2,FALSE,FALSE,Independent Day,Neimengu,9
116,S24,P5,S24P5,2023,23,180,68,Undergraduate Degree (UG),2,TRUE,TRUE,Titanic,Fujian,7
117,S24,P1,S24P1,2023,24,178,64,Undergraduate Degree (UG),2,FALSE,TRUE,Before Sunrise,Fujian,7
118,S24,P2,S24P2,2023,18,180,58,Undergraduate Degree (UG),2,TRUE,TRUE,Before Sunset,Hubei,6
119,S24,P3,S24P3,2023,19,171,54,Undergraduate Degree (UG),2,FALSE,TRUE,Pride & Prejudice,Chongqing,4
120,S24,P4,S24P4,2023,20,177,75,Undergraduate Degree (UG),2,FALSE,FALSE,Roman Holiday,Beijing,8
121,S25,P1,S25P1,2023,50,175,80,Undergraduate Degree (UG),5,FALSE,FALSE,Titanic,Hubei,8
122,S25,P2,S25P2,2023,51,165,53,Undergraduate Degree (UG),2,TRUE,FALSE,Green Book,Hubei,9
123,S25,P3,S25P3,2023,16,168,55,Some School,2,FALSE,TRUE,The Pursuit of Happiness,Hubei,6
124,S25,P4,S25P4,2023,17,178,61,Some School,3,TRUE,FALSE,The Intern,Guangdong,6
125,S25,P5,S25P5,2023,19,167,53,High School,3,TRUE,TRUE,Roman Holiday,Heilongjiang,7
126,S26,P1,S26P1,2023,20,168.5,70.65,Undergraduate Degree (UG),2,FALSE,TRUE,Forrest Gump,Sichuan,8
127,S26,P2,S26P2,2023,19,175.5,79.23,Undergraduate Degree (UG),2,FALSE,FALSE,The secret life of Walter Mitty,Sichuan,6
128,S26,P3,S26P3,2023,19,179.3,55.96,Undergraduate Degree (UG),2,FALSE,TRUE,La La Land,Sichuan,7
129,S26,P4,S26P4,2023,19,180.7,74.73,Undergraduate Degree (UG),2,FALSE,FALSE,Three idiots,Chongqing,5
130,S26,P5,S26P5,2023,19,180.2,80.13,Undergraduate Degree (UG),2,FALSE,FALSE,Manchester by the Sea,Sichuan,4
131,S27,P1,S27P1,2023,49,158.45,49.23,High School,1,FALSE,TRUE,Let the Bullets Fly,Shanxi,8
132,S27,P2,S27P2,2023,51,165.12,75.97,Some School,1,None,TRUE,Lost On Journey,Shanxi,9
133,S27,P3,S27P3,2023,20,168.06,49.57,Undergraduate Degree (UG),2,FALSE,FALSE,The Deep Sea,Shanxi,6
134,S27,P4,S27P4,2023,85,163.16,62.21,Some School,1,FALSE,FALSE,Five Heroes On Langya Mountain,Shanxi,10
135,S27,P5,S27P5,2023,19,172.09,77.43,Undergraduate Degree (UG),2,FALSE,TRUE,Un touchable,Shanxi,5
136,S28,P1,S28P1,2023,19,177,62,Undergraduate Degree (UG),2,FALSE,TRUE,"The Legend of 1900			",Tianjing,10
137,S28,P2,S28P2,2023,18,177,80,Undergraduate Degree (UG),2,FALSE,FALSE,"Wolf warriors			",Jiangsu,8
138,S28,P3,S28P3,2023,19,175,81,Undergraduate Degree (UG),2,FALSE,FALSE,John Wick,Guangxi,8
139,S28,P4,S28P4,2023,19,176,56,Undergraduate Degree (UG),3,TRUE,TRUE,"Detachment			",Guangxi,7
140,S28,P5,S28P5,2023,19,172,70,Undergraduate Degree (UG),2,FALSE,FALSE,Avengers,Shanghai,7
141,S29,P2,S29P2,2023,19,183,63,High School,2,FALSE,TRUE,"transformers1,2,3,4",Hebei,7
142,S29,P3,S29P3,2023,18,165,61,High School,2,FALSE,None,None,Hubei,None
143,S29,P4,S29P4,2023,47,164,66,Undergraduate Degree (UG),1,TRUE,FALSE,None,Hebei,10
144,S29,P5,S29P5,2023,45,184,90,Undergraduate Degree (UG),2,FALSE,TRUE,None,Tianjin,5
145,S29,P1,S29P1,2023,18,180,105,High School,2,FALSE,FALSE,Avengers 4,Tianjin,8
146,S30,P1,S30P1,2023,19,175,60,Undergraduate Degree (UG),2,TRUE,FALSE,The Avengers,Sichuan,5
147,S30,P2,S30P2,2023,19,192,82,Undergraduate Degree (UG),2,TRUE,FALSE,The Mission,Sichuan,3
148,S30,P3,S30P3,2023,19,180,66,Undergraduate Degree (UG),2,FALSE,FALSE,Spirited Away,Shandong,8
149,S30,P4,S30P4,2023,18,187,65,Undergraduate Degree (UG),3,TRUE,FALSE,Dangal,Sichuan,7
150,S30,P5,S30P5,2023,19,178,80,Undergraduate Degree (UG),3,TRUE,TRUE,The Fast and the Furious,Sichuan,6
151,S31,P1,S31P1,2023,46,165.11,50.01,Undergraduate Degree (UG),2,FALSE,TRUE,Hurricane,Hebei,7
152,S31,P2,S31P2,2023,45,175.22,68.02,Undergraduate Degree (UG),2,FALSE,TRUE,Three kingdoms,Hebei,8
153,S31,P3,S31P3,2023,19,170.33,50.03,Undergraduate Degree (UG),2,TRUE,FALSE,Interstellar,Hainan,6
154,S31,P4,S31P4,2023,18,165.44,44.04,Undergraduate Degree (UG),2,FALSE,FALSE,Manjianghong,Jiangsu,8
155,S31,P5,S31P5,2023,16,175.55,60.05,High School,2,TRUE,TRUE,Spider-Man,Hebei,8
156,S32,P1,S32P1,2023,28,185.4,85.52,High School,2,TRUE,FALSE, Manchester by the Sea,Shaanxi,7
157,S32,P2,S32P2,2023,28,175.5,70.2,Postgraduate/ Master's Degree (PG),2,TRUE,FALSE,Farewell My Concubine,Beijing,8
158,S32,P3,S32P3,2023,35,163.8,55.6,Postgraduate/ Master's Degree (PG),3,FALSE,TRUE,avengers,Shanghai,9
159,S32,P4,S32P4,2023,24,158.7,52.4,High School,1,FALSE,FALSE,Infernal Affairs,Hubei,5
160,S32,P5,S32P5,2023,31,180.3,75.8,Undergraduate Degree (UG),2,FALSE,FALSE,Fast & Furious,Hubei,8
161,S33,P1,S33P1,2023,19,174.5,54.5,Undergraduate Degree (UG),2,FALSE,FALSE,One day,Hubei,7
162,S33,P2,S33P2,2023,44,159.5,55.45,High School,1,FALSE,FALSE,Lalaland,Hubei,8
163,S33,P3,S33P3,2023,50,170.6,62.54,High School,1,TRUE,TRUE,Brave heart,Hubei,9
164,S33,P4,S33P4,2023,19,173.5,73.6,Undergraduate Degree (UG),3,FALSE,FALSE,No game no life,Hongkong,7
165,S33,P5,S33P5,2023,18,165.3,56.35,Undergraduate Degree (UG),2,FALSE,TRUE,2001 space odyssey,Beijing,8
166,S34,P1,S34P1,2023,19,168,46,Undergraduate Degree (UG),3,FALSE,FALSE,Hannibal,Hainan,5
167,S34,P2,S34P2,2023,19,174,70,Undergraduate Degree (UG),2,FALSE,FALSE,The Pursuit of Happiness,Hainan,5
