Index,ContributorID,Contributor_PersonID,PersonID,Age,Height,Weight,EducationLevel,NumberOfLanguages,LikeVollyball,LikeTableTennis,FavouriteMovie,Province,HappinessLevel
129,S26,P4,S26P4,19,180.7,74.73,Undergraduate Degree (UG),2,FALSE,FALSE,Three idiots,Chongqing,5
130,S26,P5,S26P5,19,180.2,80.13,Undergraduate Degree (UG),2,FALSE,FALSE,Manchester by the Sea,Sichuan,4
131,S27,P1,S27P1,49,158.45,49.23,High School,1,FALSE,TRUE,Let the Bullets Fly,Shanxi,8
132,S27,P2,S27P2,51,165.12,75.97,Some School,1,None,TRUE,Lost On Journey,Shanxi,9
133,S27,P3,S27P3,20,168.06,49.57,Undergraduate Degree (UG),2,FALSE,FALSE,The Deep Sea,Shanxi,6
134,S27,P4,S27P4,85,163.16,62.21,Some School,1,FALSE,FALSE,Five Heroes On Langya Mountain,Shanxi,10
135,S27,P5,S27P5,19,172.09,77.43,Undergraduate Degree (UG),2,FALSE,TRUE,Un touchable,Shanxi,5
136,S28,P1,S28P1,19,177,62,Undergraduate Degree (UG),2,FALSE,TRUE,"The Legend of 1900			",Tianjing,10
137,S28,P2,S28P2,18,177,80,Undergraduate Degree (UG),2,FALSE,FALSE,"Wolf warriors			",Jiangsu,8
138,S28,P3,S28P3,19,175,81,Undergraduate Degree (UG),2,FALSE,FALSE,John Wick,Guangxi,8
139,S28,P4,S28P4,19,176,56,Undergraduate Degree (UG),3,TRUE,TRUE,"Detachment			",Guangxi,7
140,S28,P5,S28P5,19,172,70,Undergraduate Degree (UG),2,FALSE,FALSE,Avengers,Shanghai,7
141,S29,P2,S29P2,19,183,63,High School,2,FALSE,TRUE,"transformers1,2,3,4",Hebei,7
142,S29,P3,S29P3,18,165,61,High School,2,FALSE,None,None,Hubei,None
143,S29,P4,S29P4,47,164,66,Undergraduate Degree (UG),1,TRUE,FALSE,None,Hebei,10
144,S29,P5,S29P5,45,184,90,Undergraduate Degree (UG),2,FALSE,TRUE,None,Tianjin,5
145,S29,P1,S29P1,18,180,105,High School,2,FALSE,FALSE,Avengers 4,Tianjin,8
